field,label,id
outcome,,0
outcome,correct,1
outcome,incorrect,2
outcome,skipped,3
outcome,timeout,4
question_type,MultipleChoiceOneCorrect,0
question_type,SPR,1
group_name,act,0
group_name,gmat,1
group_name,sat,2
track_name,ACT English,0
track_name,ACT Math,1
track_name,ACT Reading,2
track_name,ACT Science,3
track_name,GMAT Quantitative,4
track_name,GMAT Verbal,5
track_name,SAT Math,6
track_name,SAT Reading,7
track_name,SAT Writing,8
subtrack_name,Critical Reasoning,0
subtrack_name,Data Sufficiency,1
subtrack_name,English,2
subtrack_name,Identifying Sentence Errors,3
subtrack_name,Improving Paragraphs,4
subtrack_name,Improving Sentences,5
subtrack_name,Math,6
subtrack_name,Multiple Choice,7
subtrack_name,Passage Based Reading,8
subtrack_name,Problem Solving,9
subtrack_name,Reading,10
subtrack_name,Reading Comprehension,11
subtrack_name,Science,12
subtrack_name,Sentence Completion,13
subtrack_name,Sentence Correction,14
subtrack_name,Student Produced Response,15
game_type,BookmarkGame,0
game_type,ChallengeGame,1
game_type,CompetitiveGame,2
game_type,ComputerAdaptiveTestGame,3
game_type,CustomGame,4
game_type,DiagnosticGame,5
game_type,NULL,6
game_type,PracticeGame,7
game_type,RecitationGame,8
game_type,ReviewGame,9
game_type,StudyHallGame,10
game_type,StudyTaskGame,11
tag_string,'Except' 'Not' or 'Least' Questions,0
tag_string,Absolute value,1
tag_string,Adjective and Adverb Usage,2
tag_string,Adjective/adverb confusion,3
tag_string,Algebra,4
tag_string,Algebra and functions,5
tag_string,Analyze Information,6
tag_string,Angles,7
tag_string,Angles Parallel lines and Perpendicular lines,8
tag_string,Approximation and Estimation,9
tag_string,Arc Length and Sector of a Circle,10
tag_string,Area,11
tag_string,Area of a circle,12
tag_string,Area of a polygon,13
tag_string,Arithmetic,14
tag_string,Arithmetic word problems,15
tag_string,Assumptions,16
tag_string,Author's Purpose or Method,17
tag_string,Author's Tone or Voice,18
tag_string,Average / arithmetic mean,19
tag_string,Averages,20
tag_string,Basic operations with polynomials,21
tag_string,Biology,22
tag_string,CR: Argument Structure,23
tag_string,CR: Assumption,24
tag_string,CR: Complete the Passage,25
tag_string,CR: Evaluation of a Plan,26
tag_string,CR: Flaw,27
tag_string,CR: Inference,28
tag_string,CR: Resolve Argument,29
tag_string,CR: Strengthen,30
tag_string,CR: Weaken,31
tag_string,Cause-effect relationship,32
tag_string,Character Development,33
tag_string,Charts,34
tag_string,Chemistry,35
tag_string,Circles,36
tag_string,Circumference,37
tag_string,Clarity,38
tag_string,Comparing Two Experiments,39
tag_string,Comparison and contrast,40
tag_string,Comparisons,41
tag_string,Complex Numbers,42
tag_string,Conflicting Viewpoints,43
tag_string,Conjunctions,44
tag_string,Control Groups,45
tag_string,Coordinate Geometry,46
tag_string,Coordinate geometry,47
tag_string,Counting problems,48
tag_string,Critical Reasoning,49
tag_string,Data Analysis,50
tag_string,Data Representation,51
tag_string,Data Sufficiency,52
tag_string,Data interpretation,53
tag_string,Data interpretation (charts graphs and tables),54
tag_string,Decimals,55
tag_string,Details,56
tag_string,Development of ideas,57
tag_string,Direct and inverse variation,58
tag_string,Distance problem,59
tag_string,Domain and Range,60
tag_string,Draw Conclusions,61
tag_string,Drawing Conclusions,62
tag_string,Editing Sentences and Paragraphs,63
tag_string,Elementary Algebra,64
tag_string,English,65
tag_string,Equilateral triangles,66
tag_string,Estimation,67
tag_string,Evaluating expressions,68
tag_string,Excessive Wordiness and Redundancy,69
tag_string,Excessive wordiness,70
tag_string,Exponents and Roots,71
tag_string,Exponents and Square Roots,72
tag_string,Factoring Algebraic Expressions,73
tag_string,Factors Divisibility and Prime Numbers,74
tag_string,Factors Multiples and Divisors,75
tag_string,Factors Multiples and Remainders,76
tag_string,Fractions,77
tag_string,Fractions and rational numbers,78
tag_string,Fragments and Run-ons,79
tag_string,Function notation and evaluation,80
tag_string,Functions,81
tag_string,Geometry,82
tag_string,Geometry and measurement,83
tag_string,Gerunds,84
tag_string,Graphing Conic Sections,85
tag_string,Graphing Linear Equations,86
tag_string,Graphing Linear Functions,87
tag_string,Graphing Quadratic Functions,88
tag_string,Graphing Trigonometric Equations,89
tag_string,Graphs,90
tag_string,Humanities,91
tag_string,IP: 'Except' 'Not' or 'Least' Questions,92
tag_string,IP: Development of Ideas,93
tag_string,IP: Drawing Conclusions,94
tag_string,IP: Improving or Revising Sentences,95
tag_string,IP: Inserting or Removing Sentences,96
tag_string,IP: Organization of Ideas,97
tag_string,IP: Paragraph Structure,98
tag_string,IP: Purpose of Passage or Sentence,99
tag_string,Identify or interpret a detail,100
tag_string,Identifying Sentence Errors,101
tag_string,Identifying and Interpreting Variables,102
tag_string,Idioms,103
tag_string,Implications and Inferences,104
tag_string,Improving Paragraphs,105
tag_string,Improving Sentences,106
tag_string,Independent/dependent clauses,107
tag_string,Inequalities,108
tag_string,Inequalities and absolute value equations,109
tag_string,Inscribed Figures,110
tag_string,Interest,111
tag_string,Intermediate Algebra,112
tag_string,Interpretation of graphs and tables,113
tag_string,Interpreting Evidence,114
tag_string,Intersecting lines and angles,115
tag_string,Isosceles triangles,116
tag_string,Linear Equations with 1 Variable,117
tag_string,Lines,118
tag_string,Lines and Angles,119
tag_string,Logarithms,120
tag_string,Logical reasoning,121
tag_string,Main Idea of Paragraph or Passage,122
tag_string,Make Predictions (Generalize),123
tag_string,Make a generalization,124
tag_string,Math,125
tag_string,Matrices,126
tag_string,Meaning-in-context,127
tag_string,Measurement Concepts (Perimeter Area Volume),128
tag_string,Measurements,129
tag_string,Modifiers,130
tag_string,Multiple Choice,131
tag_string,Natural sciences,132
tag_string,Noun-verb Agreement,133
tag_string,Noun/verb agreement,134
tag_string,Number Properties,135
tag_string,Number lines,136
tag_string,Numbers and Operations,137
tag_string,Operations on algebraic functions,138
tag_string,Order and Organization of Events and Ideas,139
tag_string,Organization of ideas,140
tag_string,Paragraph Structure,141
tag_string,Parallel Lines,142
tag_string,Parallel Structure,143
tag_string,Participles,144
tag_string,Passage Based Reading,145
tag_string,Patterns,146
tag_string,Percent Questions,147
tag_string,Percents,148
tag_string,Perimeter,149
tag_string,Perimeter of a polygon,150
tag_string,Physical Sciences,151
tag_string,Physics,152
tag_string,Point of View,153
tag_string,Points and lines,154
tag_string,Pre-Algebra,155
tag_string,Preposition usage,156
tag_string,Prime numbers,157
tag_string,Probability Combinations and Permutations,158
tag_string,Probability and Statistics,159
tag_string,Probability: Combinations Permutations and Counting,160
tag_string,Problem Solving,161
tag_string,Procedure in an Experiment,162
tag_string,Profit,163
tag_string,Pronoun Ambiguity,164
tag_string,Pronoun-antecedent agreement,165
tag_string,Pronoun/antecedent agreement,166
tag_string,Properties of Circles,167
tag_string,Properties of Quadrilaterals,168
tag_string,Properties of Triangles,169
tag_string,Properties of integers,170
tag_string,Prose Fiction,171
tag_string,Punctuation,172
tag_string,Purpose,173
tag_string,Quadratic Equations,174
tag_string,Quadrilaterals,175
tag_string,Qualitative behavior of graphs and functions,176
tag_string,RC: 1 Long Passage,177
tag_string,RC: 1 Short Passage,178
tag_string,RC: 2 Long Passages,179
tag_string,RC: 2 Short Passages,180
tag_string,RC: Analogies,181
tag_string,RC: Analyze Argument,182
tag_string,RC: Application,183
tag_string,RC: Assumptions,184
tag_string,RC: Author Would Agree/Disagree,185
tag_string,RC: Author's Purpose or Method,186
tag_string,RC: Author's Tone or Attitude,187
tag_string,RC: Cause and Effect,188
tag_string,RC: Inference,189
tag_string,RC: Interpreting Facts and Details in Context,190
tag_string,RC: Logical Reasoning,191
tag_string,RC: Logical Structure of the Passage,192
tag_string,RC: Main Idea,193
tag_string,RC: New situation,194
tag_string,RC: Order and Organization of Events and Ideas,195
tag_string,RC: Strengthen/Weaken Questions,196
tag_string,RC: Structural Agreement,197
tag_string,RC: Structural Contrast,198
